education_key,literacy_rate_percent_m_15_24,literacy_rate_percent_15_24,literacy_rate_percent_f_15_plus,literacy_rate_percent_m_15_plus,literacy_percent_15_plus,primary_completion_rate_percent_f,primary_completion_rate_percent_m,primary_completion_rate_percent,primary_enroll_rate_percent_gross,pimary_enroll_rate_percent_gross_f,pimary_enroll_rate_percent_gross_m,primary_enroll_rate_percent_net,primary_enroll_rate_percent_net_f,primary_enroll_rate_percent_net_m,secondary_enroll_rate_percent_gross,secondary_enroll_rate_percent_gross_f,secondary_enroll_rate_percent_gross_m,secondary_enroll_rate_percent_net,secondary_enroll_rate_percent_net_f,secondary_enroll_rate_percent_net_m,tertiary_enroll_rate_percent_gross,spending_education_percent_gdp
3042,51.8362998962402,38.7724189758301,13.9334096908569,38.9182014465332,26.0029907226563,29.6690292358398,45.2961616516113,37.4959716796875,91.5831298828125,79.4482192993164,103.669708251953,79.09656,69.14669,89.00681,22.415060043335,13.8637504577637,30.8951892852783,18.44135,11.97697,24.85191,3.25130009651184,2.40000009536743
3043,40.6928901672363,30.7916107177734,13.9552297592163,31.3287906646729,22.3115501403809,33.0281410217285,49.5873184204102,41.3202590942383,86.8468704223633,75.4686737060547,98.1793212890625,73.15289,64.07191,82.19736,22.5566005706787,14.1596403121948,30.8915691375732,18.8551,12.28557,25.37613,2.3383886132921496,2.29999995231628
3044,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,30.8099498748779,45.0125617980957,37.9223899841309,78.5740432739258,67.6915817260742,89.4078903198242,73.0023875,63.52295,82.4396225,20.680700302124,13.9281902313232,27.3943290710449,18.648225,12.13127,25.11402,2.3383886132921496,2.45481991767883
3045,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,33.6610298156738,47.4359397888184,40.5602188110352,89.7342834472656,78.4958114624023,100.916831970215,73.0023875,63.52295,82.4396225,20.2102794647217,13.8878898620605,26.5042705535889,18.648225,12.13127,25.11402,2.3383886132921496,2.25947999954224
3046,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,26.82891811024059,43.09895012595439,34.99367211081767,89.1911392211914,78.0417098999023,100.27995300293,73.0023875,63.52295,82.4396225,20.5550403594971,14.2773399353027,26.8095607757568,18.648225,12.13127,25.11402,2.3383886132921496,2.37245988845825
3047,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,26.82891811024059,43.09895012595439,34.99367211081767,84.87540588378907,72.13001378377278,97.53634440104175,73.0023875,63.52295,82.4396225,21.083236058553076,12.9873446146647,29.106338119506834,18.648225,12.13127,25.11402,2.3383886132921496,2.3074974715709673
3048,54.7258504231771,43.880664189656564,20.615586598714234,44.95368448893226,32.30975341796877,42.6110992431641,63.6354598999023,53.207878112793,78.1001815795898,69.4308700561523,86.6281280517578,62.90998,56.87337,68.84817,29.0608406066895,19.145170211792,38.9553184509277,23.22898,15.83136,30.6108,3.07600998878479,1.84906005859375
3049,54.7258504231771,43.880664189656564,20.615586598714234,44.95368448893226,32.30975341796877,47.797908782959,67.0015029907227,57.4863510131836,79.6461029052734,72.0254287719727,87.1332092285156,64.5528,59.21631,69.79576,32.2893600463867,22.0213394165039,42.4902000427246,25.549,18.1986,32.85131,5.33443021774292,2.2272078735487804
3050,54.7258504231771,43.880664189656564,20.615586598714234,44.95368448893226,32.30975341796877,49.0343894958496,66.3352203369141,57.7622718811035,81.7479095458984,74.5858764648438,88.7881774902344,66.27116,61.1535,71.30181,34.996248245239265,25.15544204711914,43.63035202026366,27.753439999999998,20.676450000000003,34.7622475,8.27645015716553,2.2272078735487804
3051,54.7258504231771,43.880664189656564,20.615586598714234,44.95368448893226,32.30975341796877,42.8121109008789,58.348690032959,50.6495094299316,82.7778472900391,75.385498046875,90.0479125976563,65.68297,60.43325,70.84586,33.8842086791992,24.6120796203613,43.0917205810547,27.753439999999998,20.676450000000003,34.7622475,9.43566036224365,1.58112001419067
