qol_key,unemployment_female,unemployment_male,unemployment_total,people_basic_handwashing_facilities,people_basic_handwashing_facilities_rural,people_basic_handwashing_facilities_urban,people_using_at_least_basic_sanitation_services,people_using_at_least_basic_sanitation_services_rural,people_using_at_least_basic_sanitation_services_urban,people_using_at_least_basic_drinking_water_services,people_using_at_least_basic_drinking_water_services_rural,people_using_at_least_basic_drinking_water_services_urban
5109,4.00899982452393,3.53900003433228,3.72000002861023,81.64528542,78.50946537000002,85.26573253000001,65.98141978,59.67492125,,89.10442995,84.21188581,94.9753757
5110,3.71000003814697,3.25200009346008,3.4300000667572,81.64528542,78.50946537000002,85.26573253000001,64.72975559,57.95189097,,88.70770269,83.64089419,94.76695584
5111,4.32499980926514,3.875,4.05000019073486,81.64528542,78.50946537000002,85.26573253000001,63.49388054,56.25256889,,88.31165428,83.06987883,94.55870159
5112,1.65100002288818,2.38899993896484,2.03399991989136,11.07598846,4.794556883,21.09049283,14.52776484,5.714059511,,60.03682811,43.57530076,86.28148837
5113,1.66199994087219,2.48600006103516,2.08899998664856,11.92384772,5.513832982,21.9240998,15.05856877,6.042197945,,61.2425157,44.79858117,86.89666464
5114,1.67200005054474,2.58400011062622,2.14499998092651,12.77337981,6.233109081,22.75770677,15.59980009,6.379448414,,62.44262635,46.02087534,87.51194508
5115,1.68299996852875,2.68300008773804,2.20000004768372,13.62459527,6.95238518,23.59131374,16.15141449,6.72581092,,63.63712635,47.24218328,88.1273297
5116,2.22499990463257,3.66100001335144,2.96600008010864,14.47817595,7.671661279,24.4249207,16.71431724,7.081285461,,64.82759182,48.46250499,88.74281851
5117,2.7739999294281,4.65299987792969,3.74000000953674,15.3339748,8.390937378,25.25852767,17.28824398,7.445872039,,66.01351042,49.68184048,89.35841149
5118,2.79699993133545,4.61499977111816,3.72900009155273,16.19201377,9.110213477,26.09213464,17.87316737,7.819570653,,67.1947934,50.90018973,89.97410866
5119,2.8199999332428,4.57999992370605,3.71900010108948,17.05231367,9.829489575,26.9257416,18.46905629,8.202381303,,68.37135321,52.11755275,90.58991001
5120,3.01799988746643,4.83199977874756,3.9449999332428,17.14668514,9.829489575,26.9257416,18.60319806,8.202381303,,68.58372009,52.11755275,90.58991001
5121,4.16400003433228,4.26800012588501,4.21799993515015,7.490268477,1.917452488,17.75606497,11.14167285,3.67222749,,51.5193694,34.98472348,81.9781716
5122,1.64100003242493,2.29399991035461,1.98000001907349,10.22946912,4.075280785,20.25688587,14.00698043,5.395033114,,58.82474106,42.35103413,85.66641629
5123,2.1470000743866,2.69600009918213,2.43199992179871,9.386534687,3.356004686,19.4232789,13.49940929,5.085118753,,57.61240183,41.12578126,85.05144839
5124,2.65199995040894,3.09699988365173,2.88299989700317,8.548569837,2.636728587,18.58967193,13.00700878,4.784316428,,56.404078,39.89954217,84.43658467
5125,3.15899991989136,3.49900007247925,3.33500003814697,7.71232556,1.917452488,17.75606497,12.52528238,4.49262614,,55.19116723,38.67231684,83.82182513
5126,3.67899990081787,3.91799998283386,3.80299997329712,7.637726031,1.917452488,17.75606497,12.05338989,4.210047887,,53.97189441,37.44410529,83.20716977
5127,4.16300010681152,4.29300022125244,4.23000001907349,7.563759523,1.917452488,17.75606497,11.59224763,3.936581671,,52.74809794,36.2149075,82.5926186
5128,7.88700008392334,8.22700023651123,8.06999969482422,100,100,100,99.82162867,99.70778165,,99.16968809,96.64571722,99.75716101
5129,7.06899976730347,7.62799978256226,7.36999988555908,100,100,100,99.80256859,99.61159879,,99.26337949,97.02385099,99.77853394
5130,6.06199979782104,6.26200008392334,6.17000007629395,100,100,100,99.78386084,99.51541594,,99.35588121,97.40198475,99.79990687
5131,5.17799997329712,5.36700010299683,5.28000020980835,100,100,100,99.7655241,99.41923309,,99.44715776,97.78011851,99.82127981
5132,4.78900003433228,4.93900012969971,4.86999988555908,100,100,100,99.74755356,99.32305024,,99.53713865,98.15825228,99.84265274
5133,4.31199979782104,4.40199995040894,4.3600001335144,100,100,100,99.72996764,99.22686738,,99.62581578,98.53638604,99.86402567
5134,3.84100008010864,3.95099997520447,3.90000009536743,100,100,100,99.71277377,99.13068453,,99.71312112,98.91451981,99.8853986
5135,3.61100006103516,3.72099995613098,3.67000007629395,100,100,100,99.69599445,99.03450168,,99.79904438,99.29265357,99.90677154
5136,8.34500026702881,7.7960000038147,8.05000019073486,100,100,100,99.67961928,98.93831882,,99.88352668,99.67078734,99.92814447
5137,5.09600019454956,5.06599998474121,5.07999992370605,100,100,100,99.8817868,99.9963302,,98.8536874,95.51131593,99.69304221
5138,8.46100044250488,9.37100028991699,8.94999980926514,100,100,100,99.84103269,99.8039645,,99.07488707,96.26758346,99.73578807
5139,8.60999965667725,10.5080003738403,9.63000011444092,100,100,100,99.86076619,99.90014735,,98.97895208,95.88944969,99.71441514
5140,8.05900001525879,10.2760000228882,9.25,100,100,100,99.88081511,99.9963302,,98.88203953,95.51131593,99.69304221
5141,5.41400003433228,6.09299993515015,5.78000020980835,100,100,100,99.8810546,99.9963302,,98.87501291,95.51131593,99.69304221
5142,4.49599981307983,4.72499990463257,4.61999988555908,100,100,100,99.88129549,99.9963302,,98.86794461,95.51131593,99.69304221
5143,4.625,4.61499977111816,4.61999988555908,100,100,100,99.88154042,99.9963302,,98.86083682,95.51131593,99.69304221
